@relation 'TrainSet-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R8,65,3,41,63-64,59,45,6,39,38,5,1,27-28,67'

@attribute EDm numeric
@attribute RGm numeric
@attribute El numeric
@attribute SFm numeric
@attribute RTm numeric
@attribute RTd numeric
@attribute RSm numeric
@attribute M1m numeric
@attribute Asm numeric
@attribute SEm numeric
@attribute Km numeric
@attribute ATm numeric
@attribute Em numeric
@attribute ESm numeric
@attribute Rm numeric
@attribute class {aggressive,happy,relaxed,sad}

@data
5.243943,43.028042,0.003345,172.473362,41.248632,21.913723,43.800431,-0.146897,3457376.947287,0.812774,89454671649.08269,0.057984,0.228523,0.905387,3619.495074,aggressive
7.434451,36.336147,0.005113,212.477016,36.544511,13.637614,28.242499,0.584335,6534186.163342,0.86045,215853058042.06064,0.049326,0.231866,0.930247,3964.756518,aggressive
7.334882,43.087762,0.00447,213.934192,41.719539,19.529773,48.627341,1.204622,7084041.514192,0.740376,200029541173.71112,0.048627,0.332185,0.870816,3033.68195,aggressive
4.825737,52.134777,0.004168,285.776047,43.17858,13.889276,39.098973,1.646384,6538634.242346,0.832485,432116535536.9921,0.058384,0.34716,0.913961,5725.562558,aggressive
3.910991,91.929329,0.006795,225.15591,89.99585,69.841522,70.602915,1.131027,10569262.795409,0.816708,257276011108.64423,0.0676,0.307836,0.914913,2736.176621,aggressive
6.056435,44.973613,0.004031,169.391048,44.035821,17.636723,33.344162,0.824865,4143648.986171,0.851149,157503722609.78992,0.057188,0.198574,0.924246,2297.529902,aggressive
4.937044,76.089458,0.004825,207.128074,66.548772,40.488418,57.666762,1.919282,6773565.890168,0.810611,253022058408.1942,0.050123,0.279084,0.908402,3027.663334,aggressive
5.898123,38.285625,0.003655,173.886027,36.906376,14.868337,32.420441,0.773632,3817898.819529,0.846311,150084521857.70096,0.049793,0.215439,0.921623,2037.098263,aggressive
6.780799,63.006797,0.003637,147.895768,64.23846,44.461178,44.294934,0.627137,3593601.896743,0.828789,121095534637.0796,0.048423,0.175718,0.909612,1784.969262,aggressive
6.132708,66.533004,0.002931,208.585788,59.233491,30.581718,54.668072,2.32807,3811320.515904,0.793756,295604381790.848,0.055209,0.279263,0.891414,3519.864449,aggressive
4.859249,49.077618,0.002474,146.582449,49.980679,34.498226,34.67806,0.073947,2403818.235389,0.852244,118998490092.94467,0.053244,0.188888,0.931115,2275.500409,aggressive
4.77929,57.876921,0.004211,233.616393,50.468005,23.684833,49.120424,1.515313,5557085.445951,0.844144,345198366556.1243,0.055843,0.297891,0.918452,4882.256155,aggressive
4.05496,94.858258,0.004,167.566765,86.844234,66.782594,70.453729,0.102128,4762313.429436,0.865058,121243117120.42241,0.056884,0.207584,0.942782,3516.738853,aggressive
3.987936,68.628052,0.003943,190.671231,62.003779,34.262461,60.984727,0.418063,3985089.098523,0.83644,201547619817.03018,0.064348,0.264289,0.924206,3029.813328,aggressive
2.309538,86.672781,0.004266,144.412523,62.361742,38.111011,69.868957,1.761761,4712485.701624,0.770843,116273005911.72333,0.059709,0.201541,0.912852,1622.412356,aggressive
3.315773,93.577339,0.003355,175.041056,81.807311,46.714601,89.545823,1.934314,5176119.538407,0.758891,249411090404.48932,0.063384,0.293749,0.904532,2953.567936,happy
3.786863,97.267901,0.004264,188.74367,93.320428,69.804276,68.176014,2.485492,5443640.643766,0.758762,195843852968.11578,0.065273,0.291227,0.888923,2107.811525,happy
2.907754,90.737099,0.002798,80.306205,69.436228,35.98319,75.849621,2.270508,1473983.794465,0.817242,45537040220.438065,0.074403,0.106392,0.932215,409.657512,happy
4.274354,90.9565,0.004045,161.194275,91.006133,55.383578,73.556186,1.737927,4616200.672553,0.795503,162023700410.68207,0.056398,0.221979,0.907681,1357.610483,happy
3.777336,70.415811,0.005004,182.037109,68.344421,37.960193,42.461909,1.424829,5782180.729189,0.825784,118111094059.25067,0.064059,0.221233,0.921537,1033.148809,happy
4.883721,82.907795,0.007334,187.785938,86.286212,59.810849,61.692132,1.485804,11843411.270801,0.800471,132813713154.85155,0.065625,0.230906,0.921613,2240.319997,happy
3.709893,107.578386,0.005631,204.229895,100.048496,71.642126,78.320034,1.887875,7689328.65506,0.812674,233590764641.35226,0.066632,0.285501,0.91613,2701.233911,happy
2.220013,76.856337,0.008309,159.658567,67.861911,35.275569,58.538734,2.081761,12035834.638782,0.777082,109803978513.4076,0.09144,0.230771,0.913114,709.563151,happy
3.857972,76.064116,0.004089,212.107973,65.967305,50.436444,64.633267,1.220469,5878303.610263,0.862842,245877196449.9697,0.057946,0.290551,0.943354,6242.858681,happy
4.712911,92.171162,0.004471,261.994999,92.287024,53.557244,68.271487,1.365449,8251409.077894,0.814001,394019618449.22284,0.051975,0.354879,0.915616,5471.500874,happy
3.677932,93.952347,0.004268,175.030985,81.829536,62.227486,66.566436,1.57229,4981129.008854,0.824718,224734154240.6058,0.060293,0.224282,0.919127,2253.268236,happy
2.866667,97.91139,0.003442,167.91834,84.14438,61.09489,71.992385,1.549294,4118666.963485,0.829336,218884282751.30954,0.064973,0.237529,0.931035,2599.247759,happy
4.278075,95.279948,0.003831,214.0143,84.425121,66.78704,67.655276,1.510954,4852668.467155,0.839193,278505764826.6105,0.059021,0.285126,0.924069,4677.511879,happy
3.409091,91.983897,0.00508,224.625175,81.479814,71.56152,73.01646,1.637189,7237405.008918,0.797824,225020877570.4123,0.056709,0.32455,0.925575,3952.148907,happy
2.906977,67.464943,0.003117,110.493926,68.483968,71.0673,70.921132,2.115594,3204330.504557,0.725586,98640244037.35902,0.053873,0.238765,0.895922,2123.010164,happy
1.1,102.510153,0.002839,70.756953,94.24535,77.017608,97.575686,2.19789,3553331.322418,0.672721,47692092394.80784,0.08568,0.157192,0.827719,391.314417,relaxed
1.573485,147.674587,0.001642,42.008048,133.423142,97.444513,137.276678,4.703661,1051607.204186,0.627117,36555879269.24125,0.075328,0.11287,0.791209,405.784736,relaxed
0.331895,161.081678,0.001643,23.891166,135.820926,116.503996,121.547988,4.131106,1417626.1038,0.625488,17411556035.201694,0.15303,0.097578,0.778339,104.95238,relaxed
1.977212,135.04349,0.003309,100.098036,109.786456,75.212426,125.942352,2.08656,3099007.770696,0.743617,104697255862.6528,0.062011,0.212657,0.902068,878.648551,relaxed
2.090939,16.601253,0.00319,91.613342,17.314847,25.997124,55.821707,-0.692925,2407884.52685,0.717327,22048200350.79233,0.069751,0.108952,0.837493,2795.910056,relaxed
4.39008,87.946429,0.003021,86.737523,79.445829,64.072107,70.181682,4.301181,2489624.212942,0.612156,61597642780.92994,0.061295,0.164653,0.770021,511.210914,relaxed
2.190508,127.195828,0.003285,118.693633,121.896239,79.985811,114.81341,2.714952,3760910.371243,0.707349,104064847781.84656,0.057619,0.245098,0.886657,1866.182107,relaxed
3.384718,42.209257,0.002977,85.44354,33.954373,17.27031,33.941217,4.845247,2059036.753833,0.614644,59861227791.2121,0.079831,0.166019,0.813407,473.704046,relaxed
3.288136,56.93993,0.002894,97.149313,52.632592,30.959783,62.021,2.326684,2287757.541525,0.760811,60514591349.162224,0.07033,0.146684,0.880146,582.402861,relaxed
2.787919,114.396262,0.002396,88.373145,104.897454,75.402666,101.280999,2.939047,2129435.018053,0.717172,82899936386.70479,0.065376,0.179455,0.855564,896.041497,relaxed
3.081717,111.778935,0.002632,93.302483,105.62137,74.413444,90.361408,3.311717,1803281.154731,0.723478,94572653589.05145,0.066897,0.147087,0.883595,609.933886,relaxed
